Что такое python?;а)Язык программирования;б)Язык разметки;в)Java;а)Язык программирования
В каком году был выпущен python 3;а)В 2011-г;б)В 1991-г;в)В 2008-Г;в)В 2008-Г
Какой из ниже указанных вопросов является циклом;а)def;б)print;в)for;в)for
Что такое csv файл?;а)текстовый формат, предназначенный для представления табличных данных;б)компьютерный файл, содержащий текстовые данные;в)именованная область данных на носителе информации;а)текстовый формат, предназначенный для представления табличных данных
Какая функция распечатывает что-либо?;a)print;б)while;в)add;a)print
Оператор return-?;а)Возвращяет значение;б)Добавляет значение;в)удаляет значение;а)Возвращяет значение
def a(b, c, d): pass?;а)Определяет список и инициализирует его;б)Определяет функцию, которая ничего не делает;в)Определяет пустой класс;б)Определяет функцию, которая ничего не делает
К Какому типу языков программирование относится Python;а)язык разметки;б)Объектно-ориентированное Программирование;в)язык программирование;б)Объектно-ориентированное Программирование
Какая команда останавливет цикл?;а)elif;б)True;в)break;в)break
С помощью какого оператора код будет выполняться даже после прерывания цикла;а)continue;б)break;в)for;а)continue
Сколько библиотек можно импортировать в один проект?;a)Бесконечно;б)5;в)8;a)Бесконечно
Какая библиотека отвечает за время?;а)сlock;б)time;c)localtime;б)time
В каком варианте правильно создана переменная?;а)int число = 2;б)число = 2;в)число = float (2);в)число = float (2)
Что делает функция append?;а)Удаляет элемент из списка;б)добовляет элемент в список;в)ничего не делает;б)добовляет элемент в список
Какой результат даст выражение "True + 4"?;a)True;б)False;в)Произойдет ошибка;в)Произойдет ошибка
функция def это?;a)объект, принимающий аргументы и возвращающий значение;б)Оператор который прерывает цикл;c)Строка которая состоит из последовательности символов;a)объект, принимающий аргументы и возвращающий значение
Переменная int это?;а)символьная строка;б)логическая переменная;в)целая переменная;в)целая переменная
Переменная float это?;a)дейсвительная переменная;б)строка;в)логическая переменная;a)дейсвительная переменная
Название переменных не могут включать?;а)Латинские буквы;б)пробелы;в)Скобки, знаки + = ! ? b др;б)пробелы
Переменная str это?;а)строка;б)список, в данном случае из трех целых чисел;в)логическая переменная;а)строка
